Date,League,Home Team,Away Team,Predcition Score,Prediction Type,Confidence Level(%),Outcome,Source,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,1.5,over 1.5,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,1.5,over 1.5,,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,1.5,over 1.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,1.5,over 1.5,,,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,u3.5,under 3.5,60,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,u3.5,under 3.5,65,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,u3.5,under 3.5,70,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,1x,Home or draw,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Croatia HNL,,,12,home or away,,65,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1,Home win,70,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1,Home win,75,4-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1,Home win,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1x,Home win or draw,60,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1x,Home win or draw,,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1x,Home win or draw,65,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1x,Home win or draw,,4-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1x,Home win or draw,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1&1.5,Home and over 1.5,70,4-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2,Away win,60,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2,Away win,65,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2,Away win,70,0-4,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2,Away win,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2,Away win,,0-3,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2,Away win,75,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2x,Away win or draw,75,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,65,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,3-3,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,70,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,4-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,12,home or away,65,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,12,home or away,,0-3,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,12,home or away,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,12,home or away,70,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,u3.5,under 3.5,60,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2.5,over 2.5,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,2.5,over 2.5,65,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,1.5,over 1.5,75,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,GG,Both teams to score,55,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Cyprus First Division,,,GG,Both teams to score,60,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG,Both teams to score,,1-4,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,60,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,65,4-4,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,70,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,70,4-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&1.5,Home and over 1.5,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1x,Home win or draw,65,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1x,Home win or draw,70,3-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1x,Home win or draw,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1x,Home win or draw,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1x,Home win or draw,,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,12,home or away,70,4-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG,Both teams to score,60,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG,Both teams to score,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG,Both teams to score,,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG,Both teams to score,,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,u4.5,under 4.5 goals,,4-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,u4.5,under 4.5 goals,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,u4.5,under 4.5 goals,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,u3.5,under 3.5,65,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,u3.5,under 3.5,,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2.5,over 2.5,70,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2.5,over 2.5,65,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,u2.5,under 2.5,60,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1.5,over 1.5,70,4-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1.5,over 1.5,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1.5,over 1.5,,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1.5,over 1.5,,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1.5,over 1.5,65,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,1.5,over 1.5,60,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,99,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,70,0-5,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,65,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,0-4,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,60,4-0,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,3-4,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,70,0-5,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,65,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,0-6,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,60,1-4,safertip.com,,,,,,,,,,,,,,,,,,
,EPL,,,2x,Away or draw,,0-5,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,1.5,over 1.5,75,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,2x,Away or draw,70,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,1x,Home or draw,,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,1,Home win,60,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,12,home or away,60,2-4,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,u3.5,under 3.5,65,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,1.5,over 1.5,70,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,1,Home win,60,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,1.5,over 1.5,65,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,2x,Away win or draw,60,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,12,home or away,65,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,League One,,,GG,Both teams to score,60,4-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,GG,Both teams to score,55,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,u3.5,under 3.5,60,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,1.5,over 1.5,65,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,1.5,over 1.5,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,2x,Away or draw,75,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,1.5,over 1.5,60,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,1.5,over 1.5,75,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE Division 1,,,GG,Both teams to score,60,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,2x,Away or draw,60,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,1,Home win,65,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,1.5,over 1.5,75,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,u4.5,under 4.5 goals,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,2,Away win,75,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,12,home or away,65,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,12,home or away,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,1x,Home win or draw,70,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,1x,Home win or draw,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,1x,Home win or draw,75,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,1,Home win,60,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,2,Away win,70,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,2,Away win,,0-3,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,2.5,over 2.5,60,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,UAE League,,,2.5,over 2.5,65,5-3,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,60,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,65,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,60,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1,Home win,65,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1,Home win,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,2,Away win,55,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,2x,Away win or draw,70,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,70,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1x,Home win or draw,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,12,home or away,70,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,u3.5,under 3.5,70,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,u3.5,under 3.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,u3.5,under 3.5,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,u3.5,under 3.5,65,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,u3.5,under 3.5,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,u3.5,under 3.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,1.5,over 1.5,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Lemut,,,GG,Both teams to score,60,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1,Home win,75,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1,Home win,,4-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1,Home win,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1,Home win,70,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1,Home win,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1,Home win,,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1x,Home win or draw,60,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1x,Home win or draw,65,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1x,Home win or draw,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1x,Home win or draw,,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1x,Home win or draw,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1x,Home win or draw,70,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,12,home or away,70,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,2,Away win,60,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,2,Away win,65,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1.5,over 1.5,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1.5,over 1.5,65,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1.5,over 1.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,1.5,over 1.5,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,65,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u3.5,under 3.5,70,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,GG,Both teams to score,60,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,2,Away win,65,1-5,safertip.com,,,,,,,,,,,,,,,,,,
,Israel Ha'al,,,u2.5,under 2.5,55,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,60,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,65,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,75,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,65,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,70,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home win or draw,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,60,3-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,1-4,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,70,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,75,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,60,1-3,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,65,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,70,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,,0-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,,2-3,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,75,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away win or draw,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,60,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,0-6,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,55,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,3.5,over 3.5 goals,65,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,3.5,over 3.5 goals,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,u3.5,under 3.5,60,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,65,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,5-4,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,60,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,12,home or away,70,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,12,home or away,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,12,home or away,65,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,12,home or away,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,60,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,65,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,65,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,,3-3,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,75,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,70,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,,0-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1.5,over 1.5,,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1x,Home or draw,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1x,Home or draw,70,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1x,Home or draw,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1x,Home or draw,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1x,Home or draw,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1x,Home or draw,75,3-4,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,75,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,,3-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,55,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,60,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,,4-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,65,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,,3-4,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,2.5,over 2.5,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,12,home or away,65,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,12,home or away,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,12,home or away,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,12,home or away,70,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,70,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,,3-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1.5,over 1.5,,0-3,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,60,4-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,2-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,2-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,1-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,0-4,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,0-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,55,3-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,60,0-4,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,3-0,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,2-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,65,1-2,safertip.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,GG,Both teams to score,,1-1,safertip.com,,,,,,,,,,,,,,,,,,
