Date,League,Home Team,Away Team,Predcition Score,Prediction Type,Confidence Level(%),Outcome,Source,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-2,Away win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-2,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-2,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-3,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-3,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-3,Away win,,3-4,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-3,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-3,Away win,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-3,Away win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-3,Away win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-3,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,0-3,Away win,,1-4,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,0-3,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,0-3,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-4,Away win,,0-6,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,3-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-0,Home win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,4-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,4-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,1-4,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-2,Away win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,4-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,4-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,6-4,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,5-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,4-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,1-2,Away win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-8,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
